id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004023/sample/5397387/observation/0061,NW-88004023,RIVER LUNE AT FORGE BANK WEIRKEY POINT ON LUNE FROM 01/01/1981 IS 017287475,351291,464730,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-12-05T12:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.82,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5380918/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-03-11T14:21:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.47,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5382384/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-04-07T09:44:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.35,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5382979/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-04-25T09:41:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.35,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5384084/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-05-06T09:52:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.58,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5384746/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-05-21T09:46:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.56,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5387399/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-06-27T10:08:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,7.64,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5389553/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-07-31T12:44:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.65,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5391632/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-08-28T11:24:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,9.19,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004024/sample/5392825/observation/0061,NW-88004024,RIVER LUNE AT DENNY BRIDGENEW KEY POINT FOR R.LUNE FROM 01/01/1981 (REPLACES 0172807470 AS KEY PT),350315,464630,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-09-29T12:22:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,61,pH,8.21,PH UNITS
